"Автовская ул., д.21",524.00,310.00
"Автовская ул., д.22",836.00,810.00
"Автовская ул., д.25",643.78,621.00
"Автовская ул., д.26/37",1646.61,1487.00
"Автовская ул., д.28/30",1054.34,948.00
"Автовская ул., д.29",378.22,365.00
"Автовская ул., д.30",424.66,382.00
"Автовская ул., д.32",662.00,596.00
"Автовская ул., д.34",540.00,530.00
"Автовская ул., д.38",257.00,260.00
"Автовская ул., д.40",801.00,664.00
"Автовская ул., д.46",1206.00,1080.00
"Автовская ул., д.52",910.00,927.00
"Балтийская ул., д.2/14",3435.00,3270.00
"Балтийская ул., д.12",1177.00,1150.00
"Балтийская ул., д.14",820.00,870.00
"Балтийская ул., д.17",340.00,550.00
"Балтийская ул., д.17, к.2",578.00,570.00
"Балтийская ул., д.18",297.00,315.00
"Балтийская ул., д.19",646.06,560.00
"Балтийская ул., д.20",111.00,220.00
"Балтийская ул., д.21",505.62,497.10
"Балтийская ул., д.22",161.00,150.00
"Балтийская ул., д.24",145.00,270.00
"Балтийская ул., д.27",173.00,166.00
"Балтийская ул., д.32",309.00,550.00
"Балтийская ул., д.34",104.00,181.50
"Балтийская ул., д.36/9",1645.00,1560.00
"Балтийская ул., д.38",1122.00,1041.00
"Баррикадная ул., д.3",358.00,325.00
"Баррикадная ул., д.4",91.37,79.00
"Баррикадная ул., д.5",590.00,569.00
"Белоусова ул., д.3",315.00,201.00
"Белоусова ул., д.5",100.00,113.00
"Белоусова ул., д.6/42",720.00,731.00
"Белоусова ул., д.14/41",170.35,151.40
"Белоусова ул., д.16",73.01,65.00
"Белоусова ул., д.18",217.09,189.00
"Белоусова ул., д.18, к.1",357.91,312.60
"Белоусова ул., д.20",293.28,611.00
"Васи Алексеева ул., д.7",930.00,955.00
"Васи Алексеева ул., д.9",615.00,570.00
"Васи Алексеева ул., д.10",850.45,842.00
"Васи Алексеева ул., д.11",833.00,854.00
"Васи Алексеева ул., д.16",1024.00,1011.00
"Васи Алексеева ул., д.17",594.00,565.00
"Васи Алексеева ул., д.20/24",1997.00,1790.00
"Васи Алексеева ул., д.21",878.00,830.00
"Васи Алексеева ул., д.22",1436.00,1280.00
"Васи Алексеева ул., д.24",955.00,907.00
"Васи Алексеева ул., д.25",505.00,443.00
"Васи Алексеева ул., д.26",852.00,794.00
"Васи Алексеева ул., д.28",1015.00,929.00
"Васи Алексеева ул., д.30",1548.00,1492.00
"Возрождения ул., д.7/25",2260.89,3085.00
"Возрождения ул., д.9",700.66,956.00
"Возрождения ул., д.15",926.00,862.00
"Возрождения ул., д.19/38",1785.01,1750.00
"Возрождения ул., д.23",621.98,607.00
"Возрождения ул., д.25",736.02,718.00
"Возрождения ул., д.27",785.00,751.00
"Гладкова ул., д.1",192.56,160.80
"Гладкова ул., д.1а",171.92,178.00
"Гладкова ул., д.7/10",412.00,417.00
"Гладкова ул., д.11",132.28,116.00
"Гладкова ул., д.13",171.47,150.00
"Гладкова ул., д.17",73.33,29.00
"Гладкова ул., д.19",137.09,54.00
"Гладкова ул., д.21",111.58,44.00
"Гладкова ул., д.23",531.62,553.00
"Гладкова ул., д.24/7",58.65,89.70
"Гладкова ул., д.25",1279.00,1240.00
"Гладкова ул., д.26",54.35,83.00
"Гладкова ул., д.29",554.58,538.00
"Гладкова ул., д.31/7",202.08,201.00
"Гладкова ул., д.33",236.92,234.60
"Гладкова ул., д.35",118.24,92.20
"Гладкова ул., д.39",137.44,131.00
"Гладкова ул., д.41",76.63,67.00
"Гладкова ул., д.43",82.53,83.90
"Губина ул., д.1/32",158.34,156.00
"Губина ул., д.3",83.99,96.40
"Губина ул., д.4",81.59,81.00
"Губина ул., д.5",209.98,200.00
"Губина ул., д.6",167.48,166.00
"Губина ул., д.8",82.76,64.00
"Губина ул., д.9, к.1",163.81,209.00
"Губина ул., д.9, к.2",135.73,180.40
"Губина ул., д.12",92.00,86.00
"Губина ул., д.13, к.1",180.64,234.00
"Губина ул., д.13, к.2",208.00,270.00
"Губина ул., д.14",104.00,96.60
"Губина ул., д.15",105.00,92.00
"Губина ул., д.18",87.90,83.00
"Губина ул., д.19/16",210.00,185.00
"Губина ул., д.20",104.10,99.00
"Губина ул., д.22/21",127.00,108.00
"Двинская ул., д.4",1420.00,1415.00
"Двинская ул., д.4, к.1",780.00,740.00
"Двинская ул., д.4, к.2",1394.00,1195.00
"Двинская ул., д.4, к.3",893.00,825.00
"Двинская ул., д.4, к.4",842.00,811.00
"Двинская ул., д.8",870.00,795.00
"Двинская ул., д.9",1013.00,922.00
"Двинская ул., д.10",2858.00,2705.00
"Двинская ул., д.11",1150.00,1075.00
"Двинская ул., д.14",1407.00,1271.00
"Двинская ул., д.14, к.4",2080.00,1958.00
"Двинская ул., д.15",3437.93,3393.00
"Двинская ул., д.16, к.1",2460.00,2450.00
"Двинская ул., д.16, к.3",2330.00,2348.00
"Двинская ул., д.17",639.50,683.60
"Зайцева ул., д.3",1003.00,960.00
"Зайцева ул., д.17/23",1843.00,1480.00
"Зайцева ул., д.18/16",1763.00,1701.00
"Зайцева ул., д.19/18",820.62,723.00
"Зайцева ул., д.20",1336.00,1150.00
"Зайцева ул., д.21",297.38,262.00
"Зайцева ул., д.22/13",2096.00,2070.00
"Зайцева ул., д.25",679.00,610.00
"Зайцева ул., д.26",1180.00,1156.00
"Зайцева ул., д.29",330.00,335.00
"Зайцева ул., д.31",758.00,750.00
"Зайцева ул., д.32",748.53,809.00
"Зайцева ул., д.33",1036.00,1040.00
"Зайцева ул., д.34",663.47,718.00
"Зайцева ул., д.36",722.00,941.00
"Зайцева ул., д.37",1224.00,1131.00
"Зайцева ул., д.39",1030.00,901.00
"Зины Портновой ул., д.4",453.48,410.00
"Зины Портновой ул., д.6",486.52,439.20
"Зины Портновой ул., д.8",726.31,634.90
"Зины Портновой ул., д.10",717.11,628.00
"Зины Портновой ул., д.12",528.00,441.00
"Зины Портновой ул., д.14",606.79,531.00
"Зины Портновой ул., д.16",298.80,262.00
"Зины Портновой ул., д.18",441.27,437.00
"Зины Портновой ул., д.20",405.42,402.00
"Зины Портновой ул., д.22",560.00,485.00
"Зины Портновой ул., д.24",449.00,480.00
"Зины Портновой ул., д.26",391.63,388.00
"Зины Портновой ул., д.28",206.85,205.00
"Зины Портновой ул., д.30",377.84,375.30
"Зои Космодемьянской ул., д.3",1025.45,993.00
"Зои Космодемьянской ул., д.5",360.00,402.00
"Зои Космодемьянской ул., д.6, к.1",282.00,310.00
"Зои Космодемьянской ул., д.8/17",134.00,125.00
"Зои Космодемьянской ул., д.15",735.00,731.00
"Зои Космодемьянской ул., д.16/24",191.89,150.00
"Зои Космодемьянской ул., д.17/26",881.00,715.00
"Зои Космодемьянской ул., д.21",202.00,203.00
"Зои Космодемьянской ул., д.23",204.30,199.00
