"Автовская ул., д.21",296.7\256.1,238\227
"Автовская ул., д.22",145.458\122.4,174.1\148
"Автовская ул., д.25",181\128.2,113\96
"Автовская ул., д.26/37",400.2\216.7,459.1\218
"Автовская ул., д.28/30",225.3\158.9,157\125
"Автовская ул., д.29",777.9\358.7,764\362
"Автовская ул., д.30",82.7\62,61\57
"Автовская ул., д.32",95.257\72,76.8\62
"Автовская ул., д.34",92\60.9,70\49
"Автовская ул., д.38",65.7\40.8,54\35
"Автовская ул., д.40",197.9\167.4,138\116
"Автовская ул., д.46",99\51.3,85\45
"Автовская ул., д.52",146.7\137.6,101\138
"Балтийская ул., д.2/14",698.02\549.3,528.7\294
"Балтийская ул., д.12",347.842\273.8,248.3\223
"Балтийская ул., д.14",569\289,491\245
"Балтийская ул., д.17",43.173\30.2,23.5\14
"Балтийская ул., д.17, к.2",357.27\270.3,375.7\198
"Балтийская ул., д.18",45.9\32.9,24\20
"Балтийская ул., д.19а",17.6\17.1,14.1\23.1
"Балтийская ул., д.19б",9.1\8.9,7.3\11.9
"Балтийская ул., д.20",18.37\19.81,15.2\15.2
"Балтийская ул., д.21",,3\1
"Балтийская ул., д.21, к.2",28.8\15.5,38\35
"Балтийская ул., д.22",14.32\15.39,11.8\11.8
"Балтийская ул., д.23",42.6\21.8,48\24
"Балтийская ул., д.24",66.065\72.9,51.1\30
"Балтийская ул., д.25",92\47,86\43
"Балтийская ул., д.27",82.611\44.2,53.9\35
"Балтийская ул., д.32а",52.8\39.69,42.4\34.1
"Балтийская ул., д.32д",20.07\15.01,16.1\12.9
"Балтийская ул., д.34",63.91\0,33.2\0
"Балтийская ул., д.36/9",122.176\65.7,94.8\51
"Балтийская ул., д.38",258.8\182.6,150\111
"Баррикадная ул., д.3",141.9\75.2,135\82
"Баррикадная ул., д.4",76\36,75\41
"Баррикадная ул., д.5",281\247,270\274
"Баррикадная ул., д.34",59.9\32.7,54\32
"Белоусова ул., д.3",46.7\25.2,29\17
"Белоусова ул., д.5",223.5\101.8,84\76
"Белоусова ул., д.6/42",286.923\160.9,324\190
"Белоусова ул., д.10",114\72,119.3\79
