"Автовская ул., д.21",408\253,268.4\149.6
"Автовская ул., д.22",207\173,137.9\114.4
"Автовская ул., д.25",128\121,132\96.8
"Автовская ул., д.26/37",546.3\279,518.3\298.1
"Автовская ул., д.28/30",152\148,93.5\93.5
"Автовская ул., д.29",883\409,809.6\374
"Автовская ул., д.30",63\56,58.3\49.5
"Автовская ул., д.32",83.5\72,54.18\45.1
"Автовская ул., д.34",75\52,79.2\46.2
"Автовская ул., д.38",55\38,48.4\30.8
"Автовская ул., д.40",146\137,126.5\121
"Автовская ул., д.46",89\43,52.8\29.7
"Автовская ул., д.52",117\171,92.4\117.7
"Балтийская ул., д.2/14",435.2\222,527\277
"Балтийская ул., д.12",181.4\179,207.6\198
"Балтийская ул., д.14",435\223,624\314
"Балтийская ул., д.17",23.5\21,442\241
"Балтийская ул., д.17, к.2",291.55\153,381.7\201
"Балтийская ул., д.18",11\7,52\29
"Балтийская ул., д.19а",10.6\19.1,10\9.9
"Балтийская ул., д.19б",5.5\9.9,5.2\5.1
"Балтийская ул., д.20",16.6\18.6,11.8\14.6
"Балтийская ул., д.21",1\0,1\1
"Балтийская ул., д.21, к.2",42\25,28.8\16.8
"Балтийская ул., д.22",12.9\14.4,9.1\11.4
"Балтийская ул., д.23",34\18,54\27
"Балтийская ул., д.24",45.99\25,65.7\45
"Балтийская ул., д.25",85\44,108\57
"Балтийская ул., д.27",28.49\20,46.2\30
"Балтийская ул., д.32а",29.2\25.4,68\42
"Балтийская ул., д.32д",11.1\9.6,26\16
"Балтийская ул., д.34",28.2\0,27.4\0
"Балтийская ул., д.36/9",82.8\46,101.2\54
"Балтийская ул., д.38",107\95,166\140
"Баррикадная ул., д.3",98\66,102\69
"Баррикадная ул., д.4",57\24,64\32
"Баррикадная ул., д.5",156\172,113.3\149.6
"Баррикадная ул., д.34",50\32,62\35
"Белоусова ул., д.3",35\21,46\29
"Белоусова ул., д.5",53\58,55\62.7
"Белоусова ул., д.6/42",309.4\174,326.326\168
"Белоусова ул., д.10",113.3\71,22.5\18
"Белоусова ул., д.14/41",2\1,8\3
"Белоусова ул., д.16",89.6\52,112.9\52
"Белоусова ул., д.18",118\61,103.4\52.8
"Белоусова ул., д.18, к.1",161\144,139.7\123.2
"Белоусова ул., д.20",48\24,59\29
"Белоусова ул., д.22",19\9,22\10
"Белоусова ул., д.24/32",16.38\26,20.2\16.5
"Васи Алексеева ул., д.7",19.6\33,39.2\44
"Васи Алексеева ул., д.9",13\9,22.32\15
"Васи Алексеева ул., д.10",476.84\224,446\212
"Васи Алексеева ул., д.11",95\83,72\74.4
"Васи Алексеева ул., д.17",130\117,122.4\86.4
"Васи Алексеева ул., д.20/24",114.45\74,122.9\77
"Васи Алексеева ул., д.21",39.8\30,24.3\13.2
"Васи Алексеева ул., д.22",479\570,444.6\401.5
"Васи Алексеева ул., д.24",225\182,211.2\171.6
"Васи Алексеева ул., д.25",98\71,79.2\55.2
"Васи Алексеева ул., д.26",321.5\287,239.3\227.5
"Васи Алексеева ул., д.28",149\125,141\112
"Васи Алексеева ул., д.30",350.6\276,373.35\320
"Возрождения ул., д.7/25",256.7\154,173\110.4
"Возрождения ул., д.9",11.7\8,8.6\5
"Возрождения ул., д.15",58.4\69,43.6\52.8
"Возрождения ул., д.19/38",418.5\327,414.3\302.5
"Возрождения ул., д.23",73\40,84\43
"Возрождения ул., д.25",79\42,86\45
"Возрождения ул., д.27",184\118,154\90.2
"Гладкова ул., д.1",18.17\33,38.7\31
"Гладкова ул., д.1а",56\29,61\31
"Гладкова ул., д.7/10",14.2\40,12.48\39
"Гладкова ул., д.11",42\25,27.6\16.8
"Гладкова ул., д.13",32\16,21.6\18
"Гладкова ул., д.17",111\76,292\177
"Гладкова ул., д.19",66\61,33.6\49.2
"Гладкова ул., д.21",20\9,22\12
"Гладкова ул., д.23",74\99,81\116
"Гладкова ул., д.24/7",123\64,100.8\52.8
"Гладкова ул., д.25",250\179,244\183
"Гладкова ул., д.26",64\40,54\46.8
"Гладкова ул., д.29",64\95,71\110
"Гладкова ул., д.31/7",40\19,40.8\21.6
"Гладкова ул., д.33",58\28,90\48
"Гладкова ул., д.35",59\29,46.8\24
"Гладкова ул., д.39",15\10,16\11
"Гладкова ул., д.41",1\1,1\1
"Гладкова ул., д.43",15.2\11,21.12\17
"Губина ул., д.1/32",164.71\80,210.21\101
