"Автовская ул., д.21",292\153,293\150
"Автовская ул., д.22",239\151,233\168
"Автовская ул., д.25",141\100,87\88
"Автовская ул., д.26/37",315\219,429\287
"Автовская ул., д.28/30",154\129,181\124
"Автовская ул., д.29",686\139,759\161
"Автовская ул., д.30",45\51,53\66
"Автовская ул., д.32",77\96,92\100
"Автовская ул., д.34",234\102,230\119
"Автовская ул., д.38",37\31,41\26
"Автовская ул., д.40",153\152,193\167
"Автовская ул., д.46",92\46,94\49
"Автовская ул., д.52",110\118,99\104
"Балтийская ул., д.2/14",341\220,121\383
"Балтийская ул., д.12",300\100,431\235.34
"Балтийская ул., д.14",859\437,265\178
"Балтийская ул., д.17",144\109,143\108
"Балтийская ул., д.17, к.2",3341\1804,5145.8\0
"Балтийская ул., д.18",40\52,42\47
"Балтийская ул., д.19",68\74,62\72
"Балтийская ул., д.20",22\39,54\41
"Балтийская ул., д.21",32\19,34\15
"Балтийская ул., д.22",17\30,42\31
"Балтийская ул., д.23",19\10,19\10
"Балтийская ул., д.24",382\353,11\64
"Балтийская ул., д.25",119\54,106\6
"Балтийская ул., д.27",47\29,44\26
"Балтийская ул., д.32",77\72,85\75
"Балтийская ул., д.34",32\0,3\0
"Балтийская ул., д.36/9",171\157,118\137
"Балтийская ул., д.38",156\140,152\128
"Баррикадная ул., д.3",201\0,205\0
"Баррикадная ул., д.4",44\22,50\30
"Баррикадная ул., д.34",40\23,66\48
"Белоусова ул., д.3",13\33,9\15
"Белоусова ул., д.5",36\44,20\26
"Белоусова ул., д.6/42",262\64,240\60
"Белоусова ул., д.10",2\30,7\40
"Белоусова ул., д.14/41",35\15,40\19
"Белоусова ул., д.16",99\95,104\105
"Белоусова ул., д.18",46\26,58\32
"Белоусова ул., д.18, к.1",57\32,45\26
"Белоусова ул., д.20",34\31,27\22
"Белоусова ул., д.22",1088\535,968\496
"Белоусова ул., д.24/32",98\2,18\19
"Васи Алексеева ул., д.7",0\32,0\24
"Васи Алексеева ул., д.9",40\48,21\22
"Васи Алексеева ул., д.10",359\246,506\330
"Васи Алексеева ул., д.11",173\162,112\124
"Васи Алексеева ул., д.17",84\87,123\120
"Васи Алексеева ул., д.20/24",254\184,163\108
"Васи Алексеева ул., д.21",204\147,160\119
"Васи Алексеева ул., д.22",309\377,320\361
"Васи Алексеева ул., д.24",242\165,277\201
"Васи Алексеева ул., д.25",138\182,144\168
"Васи Алексеева ул., д.26",164\164,70\85
"Васи Алексеева ул., д.28",207\116,265\146
"Васи Алексеева ул., д.30",172\188,280\196
"Возрождения ул., д.7/25",720\511,525\393
"Возрождения ул., д.9",50\50,42\38
"Возрождения ул., д.15",131\120,152\128
"Возрождения ул., д.19/38",459\430,415\403
"Возрождения ул., д.23",151\106,153\123
"Возрождения ул., д.25",155\133,241\184
"Возрождения ул., д.27",174\116,150\93
"Гладкова ул., д.1",85.00,32\27
"Гладкова ул., д.1а",67\0,56\0
"Гладкова ул., д.7/10",23\53,9\45
"Гладкова ул., д.11",502\0,502\0
"Гладкова ул., д.13",15\8,21\10
"Гладкова ул., д.17",200\150,200\150
"Гладкова ул., д.19",61\32,43\21
"Гладкова ул., д.21",20\40,48\40
"Гладкова ул., д.23",205\444,122\125
"Гладкова ул., д.24/7",109\55,68\36
"Гладкова ул., д.25",256\221,179\185
"Гладкова ул., д.26",102\74,72\59
"Гладкова ул., д.29",,51\46
"Гладкова ул., д.31/7",82\68,63\39
"Гладкова ул., д.33",102\72,73\46
"Гладкова ул., д.35",35\15,40\21
"Гладкова ул., д.39",0\40,0\27
"Гладкова ул., д.41",9\2,7\2
"Гладкова ул., д.43",42\21,47\23
"Губина ул., д.1/32",166\71,137\73
"Губина ул., д.4",77\48,57\34
"Губина ул., д.6",54\37,61\40
"Губина ул., д.8",35\20,40\25
"Губина ул., д.9, к.1",16\11,2\1
"Губина ул., д.9, к.2",45\22,49\26
"Губина ул., д.12",0\27,0\20
"Губина ул., д.13, к.1",131\90,133\92
"Губина ул., д.13, к.2",2\1,3\5
"Губина ул., д.14",28\13,28\13
"Губина ул., д.15",13\30,32\40
"Губина ул., д.18",45\23,51\25
"Губина ул., д.19/16",80\40,54\28
"Губина ул., д.20",150\63,117\50
"Губина ул., д.21",87\56,72\49
"Губина ул., д.22/21",52\28,40\23
"Губина ул., д.23/19",71\37,109\54
"Двинская ул., д.4",427\334,502\420
"Двинская ул., д.4, к.1",180\169,157\146
"Двинская ул., д.4, к.2",321\249,347\291
"Двинская ул., д.4, к.3",352\304,336\301
"Двинская ул., д.4, к.4",162\160,144\174
"Двинская ул., д.8",47\96,98\167
"Двинская ул., д.9",571\316,573\296
"Двинская ул., д.10",122\1536,101\169
"Двинская ул., д.14",623\349,578\357
"Двинская ул., д.14, к.4",1363\404,1519\452
"Двинская ул., д.16, к.1",2787\1511,3827\1369
"Двинская ул., д.17",402\178,448\202
"Зайцева ул., д.3",70\0,70\0
"Зайцева ул., д.17/23",884\503,942\547
"Зайцева ул., д.18/16",21\4,88\13
"Зайцева ул., д.19/18",372\240,304\170
"Зайцева ул., д.20",,285\192
"Зайцева ул., д.21",41\21,26\14
"Зайцева ул., д.22/13",389\642,383\417
"Зайцева ул., д.25",244\135,137\118
"Зайцева ул., д.26",458\311,
"Зайцева ул., д.29",67\71,36\45
"Зайцева ул., д.31",423\344,304\325
"Зайцева ул., д.32",302\219,337\243
"Зайцева ул., д.33",235\191,292\229
"Зайцева ул., д.34",558\285,442\227
"Зайцева ул., д.36",364\250,393\281
"Зайцева ул., д.37",796\457,820\465
"Зайцева ул., д.39",277\180,295\217
"Зины Портновой ул., д.4",88\61,98\66
"Зины Портновой ул., д.6",144\207,147\192
"Зины Портновой ул., д.8",141\175,151\175
"Зины Портновой ул., д.10",103\124,142\118
"Зины Портновой ул., д.12",97\234,152\137
"Зины Портновой ул., д.14",156\225,221\273
"Зины Портновой ул., д.16",559\273,573\288
"Зины Портновой ул., д.18",111\128,134\127
"Зины Портновой ул., д.20",29\67,23\77
"Зины Портновой ул., д.22",130\98,132\89
"Зины Портновой ул., д.24",76\163,77\200
"Зины Портновой ул., д.26",156\167,164\177
"Зины Портновой ул., д.28",745\354,791\371
"Зины Портновой ул., д.30",175\165,190\173
