"Автовская ул., д.21","515\283","412\236"
"Автовская ул., д.22","444\250","423\235"
"Автовская ул., д.25","227\278","177\57"
"Автовская ул., д.26/37","622\330","548\295"
"Автовская ул., д.28/30","105\102","273\209"
"Автовская ул., д.29","472\308","452\305"
"Автовская ул., д.30","124\98","143\136"
"Автовская ул., д.32","72\66","135\105"
"Автовская ул., д.34","144\59","181\121"
"Автовская ул., д.38","65\47","63\47"
"Автовская ул., д.40","81\80","151\138"
"Автовская ул., д.46",",01\6","6\6"
"Автовская ул., д.52","117\140","140\139"
"Балтийская ул., д.2/14","383\178","367\182"
"Балтийская ул., д.12","156\153","365\212"
"Балтийская ул., д.14","794\346","646\326"
"Балтийская ул., д.17","62\63","52\50"
"Балтийская ул., д.17, корп.2","464\206","416\201"
"Балтийская ул., д.18","4\2","53\21"
"Балтийская ул., д.19а","26\16","22\14"
"Балтийская ул., д.19б","14\8","11\7"
"Балтийская ул., д.20","20\12","21\14"
"Балтийская ул., д.21","8\7","9\8"
"Балтийская ул., д.21, корп.2","17\9","27\14"
"Балтийская ул., д.22","15\7","16\10"
"Балтийская ул., д.23","21\6","38\24"
"Балтийская ул., д.24","58\24","72\40"
"Балтийская ул., д.25","191\55","95\48"
"Балтийская ул., д.27","78\39","70\35"
"Балтийская ул., д.32а","47\31","53\50"
"Балтийская ул., д.32д","18\12","20\19"
"Балтийская ул., д.34","4\1","1\0"
"Балтийская ул., д.36/9","143\104","121\0"
"Балтийская ул., д.38","122\188","191\180"
"Баррикадная ул., д.3","89\73","121\75"
"Баррикадная ул., д.4","143\67","112\61"
"Баррикадная ул., д.5","88\85","174\254"
"Баррикадная ул., д.34","75\38","78\41"
"Белоусова ул., д.3","33\20","53\30"
"Белоусова ул., д.5","123\34","167\164"
"Белоусова ул., д.6/42","169\163","459\165"
"Белоусова ул., д.10","93\20","314\137"
"Белоусова ул., д.14/41","1\1","6\4"
"Белоусова ул., д.16","81\21","108\83"
"Белоусова ул., д.18","134\68","95\67"
"Белоусова ул., д.18, корп.1","170\141","203\168"
"Белоусова ул., д.20","48\23","56\34"
"Белоусова ул., д.22","18\14","24\6"
"Белоусова ул., д.24/32","81\61","16\17"
"Васи Алексеева ул., д.7","24\21","18\12"
"Васи Алексеева ул., д.9","27\15","21\12"
"Васи Алексеева ул., д.10","345\32","126\125"
