"Автовская ул., д.21",249.05\217.65,236.05\178.65
"Автовская ул., д.22",210.27\176.1,202.68\170.1
"Автовская ул., д.25",220.5\161.3,197.5\132.3
"Автовская ул., д.26/37",469.09\262.55,488.56\277.55
"Автовская ул., д.28/30",292.45\190.85,239.45\144.85
"Автовская ул., д.29",752.35\248.05,696.35\321.05
"Автовская ул., д.30",116.55\80,119.55\77
"Автовская ул., д.32",86.95\72.5,97.8\30.5
"Автовская ул., д.34",109.5\67.85,99.5\67.85
"Автовская ул., д.38",49.55\33.7,55.85\37
"Автовская ул., д.40",196.85\176.6,300.85\223.6
"Автовская ул., д.46",100\52.95,146\78.95
"Автовская ул., д.52",168.05\160.4,258.05\199.4
"Балтийская ул., д.2/14",457.98\361.45,818.38\560.45
"Балтийская ул., д.12",304\232.2,364.14\250.2
"Балтийская ул., д.14",548\273,558\282
"Балтийская ул., д.17",36.005\30.3,29.524\22.3
"Балтийская ул., д.17, к.2",438.83\339.45,425.18\341
"Балтийская ул., д.18",56.35\39.85,45.35\30.85
"Балтийская ул., д.19а",156.1\0,156.104\0
"Балтийская ул., д.19б",80.86\0,80.86\0
"Балтийская ул., д.20",24.113\28.591,22.103\24.09
"Балтийская ул., д.21",411.00,201.00
"Балтийская ул., д.21, к.2",29.2\14.75,34.2\18.75
"Балтийская ул., д.22",18.802\22.21,17.242\18.709
"Балтийская ул., д.23",56.4\28.2,48.4\25.2
"Балтийская ул., д.24",84.498\88.35,116.62\115.35
"Балтийская ул., д.25",72.254\0,72.254\0
"Балтийская ул., д.27",111.98\60.3,34.982\9.3
"Балтийская ул., д.32а",46.504\33.07,72.244\47.57
"Балтийская ул., д.32д",17.672\12.48,27.452\17.98
"Балтийская ул., д.34",64.325\0,104.165\0
"Балтийская ул., д.36/9",141.86\76.05,106.904\58.05
"Балтийская ул., д.38",340.2\271.4,346.2\248.4
"Баррикадная ул., д.3",127.35\55.3,213.35\104.3
"Баррикадная ул., д.4",90.52\0,90.516\0
"Баррикадная ул., д.34",100.35\42.55,90.35\45.55
"Белоусова ул., д.3",46.55\23.3,53.55\27.3
"Белоусова ул., д.5",112.25\101.2,122.25\93.2
"Белоусова ул., д.6/42",349.85\444.85,352.58\80.85
"Белоусова ул., д.10",75.39\0,75.392\0
"Белоусова ул., д.14/41",51.95\32.05,51.95\32.05
"Белоусова ул., д.16",75.66\32.15,122.965\75.15
"Белоусова ул., д.18",92.3\28.8,140.3\93.8
"Белоусова ул., д.18, к.1",210.15\164.7,251.15\184.7
"Белоусова ул., д.20",83.7\44.35,88.7\51.35
"Белоусова ул., д.22",17.45\5.8,23.45\17.8
"Белоусова ул., д.24/32",30.99\15.65,45.545\25.65
"Васи Алексеева ул., д.7",92.17\99.7,159.79\121.7
"Васи Алексеева ул., д.9",9.49\15.45,9.49\20.45
"Васи Алексеева ул., д.10",813.49\382.4,676.09\280.4
"Васи Алексеева ул., д.11",162.1\127,257.1\178
"Васи Алексеева ул., д.17",205.1\165.75,282.1\186.75
"Васи Алексеева ул., д.20/24",265.22\187.7,324.42\210.7
"Васи Алексеева ул., д.21",188.66\187.75,140.66\121.75
"Васи Алексеева ул., д.22",463.34\484.9,572.78\434.9
"Васи Алексеева ул., д.24",344.55\229.4,414.55\254.4
"Васи Алексеева ул., д.25",249.4\231.75,271.4\207.75
"Васи Алексеева ул., д.26",393.3\327.95,358.54\270.95
"Васи Алексеева ул., д.28",187.8\136.47,296.5\203.8
"Васи Алексеева ул., д.30",438.57\299.25,565.87\358.25
"Возрождения ул., д.7/25",424.08\277,396.18\242
"Возрождения ул., д.9",91.85\75.7,64.55\49.7
"Возрождения ул., д.15",147.16\118.65,203.59\143.65
"Возрождения ул., д.19/38",462.72\311.3,615.24\399.3
"Возрождения ул., д.23",104.3\53.45,116.3\60.45
"Возрождения ул., д.25",281.05\208.75,329.05\225.75
"Возрождения ул., д.27",258.5\161.6,338.5\205.6
"Гладкова ул., д.1",68.22\66.85,29.506\31.85
"Гладкова ул., д.1а",84.3\47.85,78.3\38.85
"Гладкова ул., д.7/10",5.93\39.65,21.288\59.65
"Гладкова ул., д.11",4.1\15.8,16.16\16.33
"Гладкова ул., д.13",14.55\33.2,74.55\52.2
"Гладкова ул., д.17",199.4\72.15,218.33\67.55
"Гладкова ул., д.19",91.73\0,78\50
"Гладкова ул., д.21",93.71\0,93.708\0
"Гладкова ул., д.23",238.4\185.6,215.4\157.6
"Гладкова ул., д.24/7",183.05\99.15,153.05\81.15
"Гладкова ул., д.25",333.8\536.15,655.8\366.15
"Гладкова ул., д.26",209\129.05,107\56.05
"Гладкова ул., д.29",132.7\148.45,159.7\130.45
"Гладкова ул., д.31/7",42.3\20.45,61.3\22.45
"Гладкова ул., д.33",39.05\22.8,41.05\24.8
"Гладкова ул., д.35",55.71\0,55.708\0
"Гладкова ул., д.39",18.15\17.8,47.15\10.8
"Гладкова ул., д.41",1.15\1.15,1.15\1.15
"Гладкова ул., д.43",51.91\35.4,45.969\34.4
"Губина ул., д.1/32",173.58\55.35,283.69\118.35
"Губина ул., д.4",62.82\31.2,100.022\56.2
"Губина ул., д.5",244.86\165,141\87
"Губина ул., д.6",7.8\6.25,17.8\11.8
"Губина ул., д.8",140.75\48,140.75\11
"Губина ул., д.9, к.1",43.48\32.05,73.08\39.05
"Губина ул., д.9, к.2",56.65\32.05,59.65\33.05
"Губина ул., д.12",108.15\53.3,115.15\61.3
"Губина ул., д.13, к.1",53.45\32.2,58.368\0
"Губина ул., д.13, к.2",10.65\33.35,11.65\33.35
"Губина ул., д.14",76.6\43.95,80.6\54.95
"Губина ул., д.15",40.25\21.05,40.25\21.045
"Губина ул., д.18",173.3\54.9,81.3\44.9
"Губина ул., д.19/16",63.4\42.4,144.4\107.4
"Губина ул., д.20",166.7\167.6,168.7\173.6
"Губина ул., д.21",71.75\42.1,87.75\51.1
"Губина ул., д.22/21",107.85\69.3,89.85\49.3
"Губина ул., д.23/19",224.85\64.55,69.85\157.55
"Двинская ул., д.4",510.3\355.4,630.3\403.4
"Двинская ул., д.4, к.1",285.6\224.9,306.6\207.9
"Двинская ул., д.4, к.2",438.35\317.55,509.35\324.55
"Двинская ул., д.4, к.3",384.2\284.2,460.2\305.2
