"Автовская ул., д.21",31.52,19.62
"Автовская ул., д.25",62.04,33.94
"Автовская ул., д.28/30",100.47,63.21
"Автовская ул., д.29",42.89,27.68
"Автовская ул., д.30",39.27,21.94
"Автовская ул., д.32",90.03,61.64
"Автовская ул., д.34",51.11,32.07
"Автовская ул., д.38",45.94,25.06
"Автовская ул., д.40",88.55,53.36
"Балтийская ул., д.2/14",256.28,182.82
"Балтийская ул., д.12",63.86,51.22
"Балтийская ул., д.14",65.28,45.31
"Балтийская ул., д.17",38.18,23.09
"Балтийская ул., д.17, к.2",130.43,94.53
"Балтийская ул., д.18",37.76,19.10
"Балтийская ул., д.19",63.27,36.62
"Балтийская ул., д.20",21.74,11.00
"Балтийская ул., д.21",25.51,15.43
"Балтийская ул., д.22",18.90,9.56
"Балтийская ул., д.23",8.62,5.01
"Балтийская ул., д.24",26.62,13.47
"Балтийская ул., д.25",21.71,12.58
"Балтийская ул., д.27",15.99,9.26
"Балтийская ул., д.34",8.88,7.09
"Балтийская ул., д.36/9",104.14,83.18
"Баррикадная ул., д.3",26.19,18.16
"Баррикадная ул., д.4",21.33,13.35
"Баррикадная ул., д.5",44.91,31.14
"Баррикадная ул., д.34",,12.23
"Белоусова ул., д.3",32.82,20.79
"Белоусова ул., д.5",19.77,18.95
"Белоусова ул., д.6/42",75.38,55.47
"Белоусова ул., д.10",11.84,12.34
"Белоусова ул., д.20",,28.25
"Белоусова ул., д.22",38.47,28.28
"Белоусова ул., д.24/32",,27.41
"Васи Алексеева ул., д.7",55.50,44.42
"Васи Алексеева ул., д.10",83.43,68.37
"Васи Алексеева ул., д.11",52.89,41.30
"Васи Алексеева ул., д.16",81.75,62.05
"Васи Алексеева ул., д.17",75.76,48.54
"Васи Алексеева ул., д.21",87.02,62.58
"Васи Алексеева ул., д.22",116.37,93.11
"Васи Алексеева ул., д.24",81.40,68.43
"Васи Алексеева ул., д.25",54.99,33.56
"Васи Алексеева ул., д.30",148.76,85.18
"Возрождения ул., д.7/25",127.58,79.47
"Возрождения ул., д.9",63.05,42.99
"Возрождения ул., д.15",59.50,45.63
"Возрождения ул., д.19/38",167.10,112.58
"Гладкова ул., д.11",13.93,10.56
"Гладкова ул., д.13",14.05,10.65
"Гладкова ул., д.24/7",20.98,15.01
"Гладкова ул., д.25",108.01,69.57
"Гладкова ул., д.26",23.98,10.92
"Гладкова ул., д.29",57.69,23.88
"Гладкова ул., д.31/7",22.05,12.40
"Гладкова ул., д.33",23.75,13.36
"Гладкова ул., д.35",22.13,12.45
"Гладкова ул., д.39",21.03,13.32
"Гладкова ул., д.41",22.63,14.17
"Гладкова ул., д.43",40.36,25.26
"Губина ул., д.1/32",32.57,20.64
"Губина ул., д.3",16.16,10.24
"Губина ул., д.4",17.89,9.87
"Губина ул., д.5",29.60,18.76
"Губина ул., д.6",19.44,10.72
"Губина ул., д.8",21.54,12.12
"Губина ул., д.9, к.1",20.53,14.69
"Губина ул., д.9, к.2",23.98,17.16
"Губина ул., д.13, к.1",23.98,17.16
"Губина ул., д.13, к.2",,12.48
"Губина ул., д.19/16",,11.51
"Губина ул., д.20",18.26,10.49
"Губина ул., д.21",,10.05
"Губина ул., д.22/21",20.59,11.83
"Губина ул., д.23/19",16.73,10.61
"Двинская ул., д.4",99.41,74.35
"Двинская ул., д.4, к.1",53.70,41.25
"Двинская ул., д.4, к.2",87.20,69.43
"Двинская ул., д.4, к.3",82.80,56.26
"Двинская ул., д.4, к.4",46.20,41.72
"Двинская ул., д.8",90.72,58.64
"Двинская ул., д.9",58.97,55.40
"Двинская ул., д.10",265.68,182.76
"Двинская ул., д.11",99.37,98.60
"Двинская ул., д.14",117.68,92.79
"Двинская ул., д.14, к.4",,178.76
"Двинская ул., д.15",265.14,216.27
"Двинская ул., д.16, к.3",127.73,112.48
"Двинская ул., д.17",45.99,33.71
"Зайцева ул., д.3",112.24,85.15
"Зайцева ул., д.17/23",132.36,87.42
"Зайцева ул., д.19/18",89.77,61.87
"Зайцева ул., д.20",87.13,69.60
"Зайцева ул., д.21",37.78,24.11
"Зайцева ул., д.22/13",166.70,96.50
"Зайцева ул., д.25",64.43,40.16
"Зайцева ул., д.26",,75.25
"Зайцева ул., д.29",21.00,19.81
"Зайцева ул., д.31",91.11,62.12
"Зайцева ул., д.32",,38.64
"Зайцева ул., д.33",,61.06
"Зайцева ул., д.34",61.39,32.15
"Зайцева ул., д.36",67.13,46.56
"Зайцева ул., д.37",106.73,79.30
"Зайцева ул., д.39",90.81,46.62
"Зины Портновой ул., д.4",69.29,32.52
"Зины Портновой ул., д.6",47.54,31.02
"Зины Портновой ул., д.8",51.21,29.96
"Зины Портновой ул., д.10",58.45,33.83
"Зины Портновой ул., д.12",58.98,36.40
"Зины Портновой ул., д.14",61.55,32.46
"Зины Портновой ул., д.16",79.43,24.78
"Зины Портновой ул., д.18",67.01,41.23
"Зины Портновой ул., д.20",57.25,33.22
"Зины Портновой ул., д.22",72.91,33.07
"Зины Портновой ул., д.24",67.91,32.41
"Зины Портновой ул., д.26",59.78,31.46
"Зины Портновой ул., д.28",23.74,16.97
"Зины Портновой ул., д.30",63.28,33.79
"Зои Космодемьянской ул., д.3",92.16,69.26
"Зои Космодемьянской ул., д.5",24.49,18.40
"Зои Космодемьянской ул., д.17/26",72.64,60.61
"Зои Космодемьянской ул., д.21",,9.71
"Зои Космодемьянской ул., д.27",40.04,40.04
"Зои Космодемьянской ул., д.29",26.87,26.87
"Ивана Черных ул., д.13",107.10,68.87
"Ивана Черных ул., д.15",121.23,57.82
"Ивана Черных ул., д.19",,36.54
"Ивана Черных ул., д.21",,29.59
"Калинина ул., д.8, к.1",16.12,9.31
"Калинина ул., д.10",46.98,35.17
"Канонерский о., д.7",,183.87
"Канонерский о., д.8",,184.40
"Канонерский о., д.9",,83.70
"Канонерский о., д.10",,91.01
