"Автовская ул., д.21",206.55,183.86
"Автовская ул., д.25",377.57,379.64
"Автовская ул., д.28/30",472.95,483.90
"Автовская ул., д.29",303.95,310.97
"Автовская ул., д.30",141.38,141.45
"Автовская ул., д.32",408.55,419.50
"Автовская ул., д.34",310.25,335.78
"Автовская ул., д.38",182.28,187.49
"Автовская ул., д.40",354.00,405.05
"Балтийская ул., д.17, к.2",438.33,444.37
"Балтийская ул., д.18",133.65,172.66
"Балтийская ул., д.19а",140.59,145.83
"Балтийская ул., д.19б",79.67,113.74
"Балтийская ул., д.20",82.62,82.62
"Балтийская ул., д.21",89.04,92.36
"Балтийская ул., д.21, к.2",74.98,77.77
"Балтийская ул., д.22",94.77,94.77
"Балтийская ул., д.23",32.81,34.03
"Балтийская ул., д.24",123.93,123.93
"Балтийская ул., д.25",116.20,118.64
"Балтийская ул., д.27",67.78,69.20
"Балтийская ул., д.34",94.63,95.70
"Баррикадная ул., д.4",30.59,51.90
"Баррикадная ул., д.5",329.29,346.36
"Белоусова ул., д.3",169.06,172.70
"Белоусова ул., д.5",9.29,90.21
"Белоусова ул., д.10",67.25,60.58
"Белоусова ул., д.14/41",95.71,96.14
"Белоусова ул., д.16",42.23,42.41
"Белоусова ул., д.18",109.79,110.28
"Васи Алексеева ул., д.16",510.15,526.59
"Васи Алексеева ул., д.17",363.82,360.10
"Васи Алексеева ул., д.21",463.13,468.71
"Васи Алексеева ул., д.25",306.52,328.22
"Гладкова ул., д.1",94.98,99.56
"Гладкова ул., д.1а",116.90,122.54
"Гладкова ул., д.11",90.00,97.32
"Гладкова ул., д.13",121.16,131.01
"Гладкова ул., д.17",68.74,66.76
"Гладкова ул., д.19",126.02,122.40
"Гладкова ул., д.21",100.24,97.36
"Гладкова ул., д.24/7",105.29,104.99
"Гладкова ул., д.26",102.72,102.42
"Гладкова ул., д.31/7",74.73,80.00
"Гладкова ул., д.33",92.76,99.31
"Гладкова ул., д.35",74.73,80.00
"Гладкова ул., д.39",83.59,85.36
"Гладкова ул., д.41",31.77,44.58
"Гладкова ул., д.43",32.94,50.08
"Губина ул., д.1/32",115.55,118.00
"Губина ул., д.3",56.55,57.74
"Губина ул., д.4",54.34,58.23
"Губина ул., д.5",122.92,125.53
"Губина ул., д.6",95.73,102.59
"Губина ул., д.8",61.84,66.21
"Губина ул., д.9, к.1",92.45,92.18
"Губина ул., д.9, к.2",87.32,87.06
"Губина ул., д.13, к.1",82.18,83.80
"Губина ул., д.13, к.2",82.43,91.04
"Губина ул., д.19/16",101.41,112.72
"Губина ул., д.20",110.56,107.69
"Губина ул., д.21",98.43,109.40
"Губина ул., д.22/21",82.92,80.77
"Губина ул., д.23/19",104.40,116.03
"Двинская ул., д.14, к.4",520.14,1078.91
"Двинская ул., д.16, к.1",1910.89,1782.48
"Двинская ул., д.16, к.3",1045.49,1114.67
"Зайцева ул., д.3",503.58,153.09
"Зайцева ул., д.19/18",527.51,536.01
"Зайцева ул., д.21",143.20,153.09
"Зайцева ул., д.25",341.71,357.56
"Зайцева ул., д.29",172.86,171.21
"Зайцева ул., д.31",482.05,482.05
"Зины Портновой ул., д.4",445.60,447.11
"Зины Портновой ул., д.6",299.96,303.99
"Зины Портновой ул., д.8",397.47,398.20
"Зины Портновой ул., д.10",359.76,345.74
"Зины Портновой ул., д.12",557.86,645.19
"Зины Портновой ул., д.14",393.38,388.42
"Зины Портновой ул., д.16",177.82,194.44
"Зины Портновой ул., д.18",303.32,318.67
"Зины Портновой ул., д.20",363.33,388.86
"Зины Портновой ул., д.22",331.69,343.57
"Зины Портновой ул., д.24",371.61,398.69
"Зины Портновой ул., д.26",304.31,323.81
"Зины Портновой ул., д.28",235.60,244.23
"Зины Портновой ул., д.30",266.94,249.11
"Зои Космодемьянской ул., д.3",471.96,490.66
"Зои Космодемьянской ул., д.5",175.56,182.52
"Зои Космодемьянской ул., д.21",119.31,132.61
"Зои Космодемьянской ул., д.27",180.43,188.79
"Ивана Черных ул., д.3, к.2",262.98,264.67
"Канонерский о., д.7",2101.32,1411.36
"Канонерский о., д.8",2404.87,1508.97
"Канонерский о., д.9",980.64,520.43
"Канонерский о., д.10",1057.74,585.34
"Канонерский о., д.12",656.03,445.26
"Канонерский о., д.12, к.2",1465.85,798.13
"Канонерский о., д.13",483.80,454.92
"Канонерский о., д.14",457.77,448.28
"Канонерский о., д.15",251.14,253.78
"Корнеева ул., д.6",1296.11,1341.16
"Косинова ул., д.14, к.1",443.10,461.07
"Косинова ул., д.14, к.2",357.40,497.33
"Ленинский пр., д.110, к.1а",424.50,399.99
"Ленинский пр., д.110, к.1б",2674.40,2500.09
"Ленинский пр., д.120, к.2",295.24,302.20
"Ленинский пр., д.124",914.56,902.19
"Ленинский пр., д.130, к.2",,308.62
"Майков пер., д.3",64.55,65.91
"Майков пер., д.5",12.91,13.18
"Майков пер., д.5а",87.15,88.98
"Майков пер., д.7/1",90.38,92.27
"Маршала Говорова ул., д.16",1046.42,1069.68
"Маршала Жукова пр., д.18а",720.05,716.74
"Маршала Жукова пр., д.18б",569.25,612.81
"Маршала Жукова пр., д.18в",1574.69,1541.57
"Маршала Жукова пр., д.18г",573.23,599.56
"Маршала Жукова пр., д.18д",595.00,605.27
"Маршала Жукова пр., д.20",997.18,1031.43
"Маршала Жукова пр., д.22",1097.08,1097.08
"Маршала Жукова пр., д.26/16а",629.20,632.81
"Маршала Жукова пр., д.26/16б",380.74,398.66
"Маршала Жукова пр., д.26/16в",1744.34,1729.30
"Маршала Жукова пр., д.28, к.1",2253.26,1622.24
"Маршала Жукова пр., д.30, к.2а",344.08,486.89
"Маршала Жукова пр., д.30, к.2б",483.01,481.08
"Маршала Жукова пр., д.30, к.2в",1623.02,1623.02
"Маршала Жукова пр., д.30, к.2г",447.34,449.54
"Маршала Жукова пр., д.30, к.2д",888.94,1208.85
"Маршала Жукова пр., д.30, к.2е",452.43,462.92
"Маршала Жукова пр., д.30, к.2ж",1077.19,1114.13
"Маршала Жукова пр., д.32, к.1",1841.04,1826.79
"Маршала Жукова пр., д.34, к.1а",968.22,1003.12
"Маршала Жукова пр., д.34, к.1б",522.46,562.57
"Маршала Жукова пр., д.34, к.1в",349.84,1073.56
"Маршала Жукова пр., д.34, к.1г",304.28,321.03
"Маршала Жукова пр., д.34, к.1д",818.86,847.09
"Маршала Жукова пр., д.34, к.1е",1253.87,1280.09
"Маршала Казакова ул., д.1, к.2",881.44,906.27
"Маршала Казакова ул., д.3, к.1",1155.30,1155.30
"Маршала Казакова ул., д.5, к.1а",1208.80,1225.38
