"Автовская ул., д.21",235.00,297.00
"Автовская ул., д.22",730.00,780.00
"Автовская ул., д.25",555.40,498.53
"Автовская ул., д.26/37",1590.00,1793.21
"Автовская ул., д.28/30",980.78,1045.74
"Автовская ул., д.29",348.48,337.40
"Автовская ул., д.30",393.22,419.26
"Автовская ул., д.32",433.18,573.72
"Автовская ул., д.34",491.00,488.00
"Автовская ул., д.38",260.00,263.00
"Автовская ул., д.40",680.00,767.00
"Автовская ул., д.46",1077.00,1176.00
"Автовская ул., д.52",776.00,856.00
"Балтийская ул., д.2/14",3395.00,3350.00
"Балтийская ул., д.12",1223.00,1133.00
"Балтийская ул., д.14",882.00,836.00
"Балтийская ул., д.17",395.73,448.00
"Балтийская ул., д.17, к.2",502.21,662.81
"Балтийская ул., д.18",330.40,336.00
"Балтийская ул., д.19",666.46,701.55
"Балтийская ул., д.20",85.68,116.39
"Балтийская ул., д.21",533.17,555.08
"Балтийская ул., д.22",151.00,145.00
"Балтийская ул., д.24",181.60,197.90
"Балтийская ул., д.27",174.15,201.17
"Балтийская ул., д.32",287.00,323.19
"Балтийская ул., д.34",243.66,249.66
"Балтийская ул., д.36/9",1601.00,1533.60
"Балтийская ул., д.38",1091.80,1094.00
"Баррикадная ул., д.3",374.00,345.00
"Баррикадная ул., д.4",101.22,81.13
"Баррикадная ул., д.5",607.00,589.00
"Белоусова ул., д.3",333.00,402.00
"Белоусова ул., д.5",99.00,117.00
"Белоусова ул., д.6/42",648.08,955.08
"Белоусова ул., д.14/41",134.34,147.17
"Белоусова ул., д.16",55.98,61.32
"Белоусова ул., д.18",212.56,256.36
"Белоусова ул., д.18, к.1",415.40,422.64
"Белоусова ул., д.20",296.10,330.72
"Васи Алексеева ул., д.7",950.00,954.00
"Васи Алексеева ул., д.9",590.00,596.00
"Васи Алексеева ул., д.10",1123.00,961.91
"Васи Алексеева ул., д.11",821.00,895.00
"Васи Алексеева ул., д.16",898.38,990.38
"Васи Алексеева ул., д.17",534.00,635.00
"Васи Алексеева ул., д.20/24",2049.70,2202.37
"Васи Алексеева ул., д.21",631.30,802.30
"Васи Алексеева ул., д.22",1280.32,1475.00
"Васи Алексеева ул., д.24",970.00,996.00
"Васи Алексеева ул., д.25",741.00,546.00
"Васи Алексеева ул., д.26",886.82,959.82
"Васи Алексеева ул., д.28",676.90,1046.09
"Васи Алексеева ул., д.30",1615.17,1611.17
"Возрождения ул., д.7/25",2226.69,2571.84
"Возрождения ул., д.9",683.51,789.46
"Возрождения ул., д.15",859.71,904.71
"Возрождения ул., д.19/38",2350.00,2305.01
"Возрождения ул., д.23",588.89,650.51
"Возрождения ул., д.25",666.12,730.49
"Возрождения ул., д.27",797.00,849.00
"Гладкова ул., д.1",109.58,173.43
"Гладкова ул., д.1а",135.88,133.81
"Гладкова ул., д.7/10",410.17,549.17
"Гладкова ул., д.11",156.56,141.98
"Гладкова ул., д.13",202.94,189.30
"Гладкова ул., д.17",82.80,81.88
"Гладкова ул., д.19",151.20,149.52
"Гладкова ул., д.21",126.00,124.60
"Гладкова ул., д.23",599.72,564.41
"Гладкова ул., д.24/7",142.20,147.91
"Гладкова ул., д.25",1341.00,1335.00
"Гладкова ул., д.26",170.00,137.09
"Гладкова ул., д.29",572.50,560.77
"Гладкова ул., д.31/7",202.55,194.84
"Гладкова ул., д.33",244.45,235.16
"Гладкова ул., д.35",122.35,115.00
"Гладкова ул., д.39",140.63,91.14
"Гладкова ул., д.41",101.22,81.13
"Гладкова ул., д.43",129.00,81.13
"Губина ул., д.1/32",175.74,164.57
"Губина ул., д.3",88.39,55.69
"Губина ул., д.4",75.40,79.43
"Губина ул., д.5",220.98,134.17
"Губина ул., д.6",154.76,163.03
"Губина ул., д.8",85.65,80.00
"Губина ул., д.9, к.1",273.29,262.52
"Губина ул., д.9, к.2",234.25,225.02
"Губина ул., д.12",79.54,78.58
"Губина ул., д.13, к.1",117.62,107.81
"Губина ул., д.13, к.2",135.44,194.09
"Губина ул., д.14",86.46,85.42
"Губина ул., д.15",98.82,98.00
