"Автовская ул., д.21",271.05\233.65,289.05\261.65
"Автовская ул., д.22",222.934\182.1,188.753\157.1
"Автовская ул., д.25",232.5\145.3,246.5\158.3
"Автовская ул., д.26/37",530.303\279.55,482.072\256.55
"Автовская ул., д.28/30",352.45\200.85,269.45\163.85
"Автовская ул., д.29",853.35\403.05,887.35\415.05
"Автовская ул., д.30",148.55\88,125.55\86
"Автовская ул., д.32",116.17\79.5,93.629\66.5
"Автовская ул., д.34",123.5\69.85,90.5\52.85
"Автовская ул., д.38",118.55\67.7,97.55\55.7
"Автовская ул., д.40",299.85\194.6,238.85\174.6
"Автовская ул., д.46",146\74.95,144\75.95
"Автовская ул., д.52",254.05\177.4,193.05\150.4
"Балтийская ул., д.2/14",965.43\522.45,772.48\434.45
"Балтийская ул., д.12",403.908\238.2,352.498\236.2
"Балтийская ул., д.14",661\333,524\266
"Балтийская ул., д.17",36.814\24.3,48.964\31.3
"Балтийская ул., д.17, к.2",475.98\377.95,513.38\399.45
"Балтийская ул., д.18",104.35\57.85,69.35\46.85
"Балтийская ул., д.19а",24.6\18.45,19.92\18.45
"Балтийская ул., д.19б",12.78\9.55,10.34\9.55
"Балтийская ул., д.20",25.253\27.46,16.383\18.491
"Балтийская ул., д.21",4.00,6.00
"Балтийская ул., д.21, к.2",70.2\38.75,28.2\14.75
"Балтийская ул., д.22",19.632\21.339,12.782\14.31
"Балтийская ул., д.23",60.4\29.2,34.4\18.2
"Балтийская ул., д.24",108.588\105.35,84.498\88.35
"Балтийская ул., д.25",103\51,74\38
"Балтийская ул., д.27",94.272\49.3,82.722\40.3
"Балтийская ул., д.32а",72.944\46.12,50.674\35.25
"Балтийская ул., д.32д",27.712\17.43,19.262\13.3
"Балтийская ул., д.34",80.925\0,64.325\0
"Балтийская ул., д.36/9",147.384\83.05,102.304\50.05
"Балтийская ул., д.38",320.2\196.4,257.2\169.4
"Баррикадная ул., д.3",183.35\91.3,195.35\96.3
"Баррикадная ул., д.4",90.516\0,90.516\0
"Баррикадная ул., д.34",72.35\26.55,76.35\50.55
"Белоусова ул., д.3",43.55\22.3,44.55\23.3
"Белоусова ул., д.5",130.25\77.2,47.25\93.2
"Белоусова ул., д.6/42",363.5\203.85,305.26\173.85
"Белоусова ул., д.10",98.25\67,289.5\196
"Белоусова ул., д.14/41",15.95\8.05,16.95\8.05
"Белоусова ул., д.16",100.555\58.15,118.815\72.15
"Белоусова ул., д.18",129.3\66.8,129.3\68.8
"Белоусова ул., д.18, к.1",187.15\141.7,217.15\167.7
"Белоусова ул., д.20",184.7\95.35,117.7\64.35
"Белоусова ул., д.22",20.45\8.8,21.45\10.8
"Белоусова ул., д.24/32",44.635\31.65,71.936\51.65
"Васи Алексеева ул., д.7",146.069\90.7,155.869\101.7
"Васи Алексеева ул., д.9",6.696\17.45,14.136\19.45
"Васи Алексеева ул., д.10",730.685\311.4,666.075\307.4
"Васи Алексеева ул., д.11",334.1\140,215.1\144
"Васи Алексеева ул., д.17",293.095\189.745,236.095\164.745
"Васи Алексеева ул., д.20/24",341.765\222.7,279.715\284.7
"Васи Алексеева ул., д.21",88.913\69.75,61.913\45.75
"Васи Алексеева ул., д.22",677.424\473.9,526.704\408.9
"Васи Алексеева ул., д.24",367.55\210.4,306.55\183.4
"Васи Алексеева ул., д.25",172.4\114.75,125.4\88.75
"Васи Алексеева ул., д.26",460.452\341.95,469.142\358.95
"Васи Алексеева ул., д.28",270.495\160.801,230.495\146.801
"Васи Алексеева ул., д.30",506.968\293.25,534.518\337.25
"Возрождения ул., д.7/25",425.94\247,335.73\202
"Возрождения ул., д.9",41.145\26.7,24.765\15.7
"Возрождения ул., д.15",180\112,132.314\89.65
"Возрождения ул., д.19/38",751.022\471.3,606.872\386.3
"Возрождения ул., д.23",107.3\50.45,86.3\42.45
"Возрождения ул., д.25",350.05\220.75,264.05\187.75
"Возрождения ул., д.27",348.5\204.6,300.5\178.6
"Гладкова ул., д.1",33.456\34.85,34.247\37.85
"Гладкова ул., д.1а",76.3\35.85,86.3\45.85
"Гладкова ул., д.7/10",16.728\46.65,15.528\44.65
"Гладкова ул., д.11",56.1\29.8,48.1\25.8
"Гладкова ул., д.13",43.55\26.2,43.55\31.2
"Гладкова ул., д.17",352.4\150.15,299.4\140.15
"Гладкова ул., д.19",71\45,70\90
"Гладкова ул., д.21",20\10,35\18
"Гладкова ул., д.23",220.4\139.6,215.4\159.6
"Гладкова ул., д.24/7",120.05\64.15,134.05\72.15
"Гладкова ул., д.25",579.8\297.15,576.8\293.15
"Гладкова ул., д.26",118\59.05,141\74.05
"Гладкова ул., д.29",204.7\136.45,178.7\140.45
"Гладкова ул., д.31/7",66.3\34.45,69.3\35.45
"Гладкова ул., д.33",134.05\71.8,124.05\66.8
"Гладкова ул., д.35",55.708\0,55.708\0
"Гладкова ул., д.39",26.85\11.5,26.15\18.8
"Гладкова ул., д.41",2.15\.15,1.15\1.15
"Гладкова ул., д.43",45.309\34.4,35.409\26.4
"Губина ул., д.1/32",272.773\122.35,299.163\132.35
"Губина ул., д.3",51\26,59\31
"Губина ул., д.4",85.141\47.2,89.791\50.2
"Губина ул., д.5",176\118,158\108
"Губина ул., д.6",16.8\12.25,13.8\10.25
"Губина ул., д.8",163.75\62,154.75\63
"Губина ул., д.9, к.1",38.68\47.05,37.88\18.05
"Губина ул., д.9, к.2",74.65\35.05,78.65\39.05
"Губина ул., д.12",93.15\47.3,118.15\60.3
"Губина ул., д.13, к.1",7.812\4.2,6.972\4.2
"Губина ул., д.13, к.2",25.65\18.35,54.65\35.35
"Губина ул., д.14",102.6\62.95,97.6\63.95
"Губина ул., д.15",65.74\0,78.25\50.745
"Губина ул., д.18",41.3\23.9,46.3\24.9
"Губина ул., д.19/16",62.4\41.4,62.4\47.4
"Губина ул., д.20",92.7\68.6,92.7\68.6
"Губина ул., д.21",90.75\46.1,123.75\68.1
"Губина ул., д.22/21",76.85\40.3,71.85\37.3
"Губина ул., д.23/19",150.85\68.55,182.85\83.55
"Двинская ул., д.4",715.3\420.4,708.3\444.4
"Двинская ул., д.4, к.1",322.6\194.9,277.6\192.9
"Двинская ул., д.4, к.2",626.35\371.55,591.35\377.55
"Двинская ул., д.4, к.3",498.2\295.2,470.2\311.2
"Двинская ул., д.4, к.4",345.15\235.35,310.15\244.35
"Двинская ул., д.8",179.658\124.55,203.958\148.55
"Двинская ул., д.9",182.931\87.9,117.831\57.9
"Двинская ул., д.10",529.096\304,503.256\320
"Двинская ул., д.11",414.97\247.75,359.53\225.75
"Двинская ул., д.14",327.832\195.95,304.612\186.95
"Двинская ул., д.14, к.4",1417\459,1549\464
"Двинская ул., д.16, к.1",4322.8\1665.9,4314.52\1633.9
"Двинская ул., д.17",703.8\317.6,689.8\310.6
"Зайцева ул., д.3",761.346\900.95,617.826\783.95
"Зайцева ул., д.17/23",1768.23\858.2,1378.13\648.2
"Зайцева ул., д.18/16",205.248\114.15,191.808\110.15
"Зайцева ул., д.19/18",335.95\207.6,295.95\203.6
"Зайцева ул., д.20",706.1\392.25,549.1\316.25
"Зайцева ул., д.21",40.9\20.6,33.9\17.6
"Зайцева ул., д.22/13",1182.61\579.55,950.434\414.55
"Зайцева ул., д.25",218\135.45,148\100.45
"Зайцева ул., д.26",350.07\1.15,349.8\.15
"Зайцева ул., д.29",53.1\36.35,41.1\34.35
"Зайцева ул., д.31",570.65\317.7,478.65\278.7
"Зайцева ул., д.32",262.5\165.25,228.5\153.25
"Зайцева ул., д.33",375.53\284.9,398.48\296.9
"Зайцева ул., д.34",126.95\61.6,114.95\53.6
"Зайцева ул., д.36",425.5\247.65,359.5\215.65
"Зайцева ул., д.37",269\156.1,245.2\143.1
"Зайцева ул., д.39",403.1\229.75,350.1\218.75
