"Автовская ул., д.21",320\193,311\177
"Автовская ул., д.22",447\241,441\231
"Автовская ул., д.25",235\138,146\117
"Автовская ул., д.28/30",373\239,235\175
"Автовская ул., д.29",777\129,681\161
"Автовская ул., д.30",136\97,82\72
"Автовская ул., д.32",296\206,150\96
"Автовская ул., д.34",295\194,188\154
"Автовская ул., д.38",102\69,63\51
"Автовская ул., д.40",380\276,381\338
"Автовская ул., д.46",115\61,95\50
"Автовская ул., д.52",280\210,255\212
"Балтийская ул., д.2/14",963\292,569\233
"Балтийская ул., д.12",128\223,720\223
"Балтийская ул., д.14",529\74,658\330
"Балтийская ул., д.17, к.2",734.00,1030.00
"Балтийская ул., д.18",193\122,37\38
"Балтийская ул., д.19",173\112,71\52
"Балтийская ул., д.20",106.37\51.78,50\28
"Балтийская ул., д.21",168\99,97\57
"Балтийская ул., д.22",82.63\40.22,39\22
"Балтийская ул., д.23",19\10,19\10
"Балтийская ул., д.24",22\18,18\1
"Балтийская ул., д.25",183\87,102\51
"Балтийская ул., д.27",94\48,33\16
"Балтийская ул., д.32",177\110,122\80
"Балтийская ул., д.34",153\0,114\0
"Балтийская ул., д.36/9",176\95,658\338
"Балтийская ул., д.38",345\211,223\166
"Баррикадная ул., д.3",477\0,138\84
"Баррикадная ул., д.4",317\207,505\100
"Баррикадная ул., д.34",121\53,92\50
"Белоусова ул., д.3",149\103,560\20
"Белоусова ул., д.10",420\361,178\92
"Белоусова ул., д.14/41",341\269,165\165
"Белоусова ул., д.16",276\329,129\129
"Белоусова ул., д.18",101\8,53\30
"Белоусова ул., д.18, к.1",51.00,51.00
"Белоусова ул., д.20",156\79,55\37
"Белоусова ул., д.24/32",35\32,24\19
"Васи Алексеева ул., д.7",293\93,740\93
"Васи Алексеева ул., д.9",114\104,104\110
"Васи Алексеева ул., д.10",471\261,632\360
"Васи Алексеева ул., д.11",248\157,217\164
"Васи Алексеева ул., д.17",618\19,618\19
"Васи Алексеева ул., д.20/24",553\365,436\305
"Васи Алексеева ул., д.21",299\172,348\211
"Васи Алексеева ул., д.22",782\505,864\662
"Васи Алексеева ул., д.24",457\219,418\265
"Васи Алексеева ул., д.25",303\219,300\260
"Васи Алексеева ул., д.26",298\187,257\209
"Васи Алексеева ул., д.28",347\200,290\200
"Васи Алексеева ул., д.30",880\483,396\238
"Возрождения ул., д.7/25",627\368,882\528
"Возрождения ул., д.9",122\72,97\64
"Возрождения ул., д.15",269\170,205\140
"Возрождения ул., д.19/38",950\578,776\495
"Возрождения ул., д.23",344\190,255\166
"Возрождения ул., д.25",478\271,330\221
"Возрождения ул., д.27",366\226,280\186
"Гладкова ул., д.1",146.00,156.00
"Гладкова ул., д.1а",,228\0
"Гладкова ул., д.7/10",261\204,1165\467
"Гладкова ул., д.11",155\0,698\0
"Гладкова ул., д.17",557\245,301\91
"Гладкова ул., д.21",37\0,9\0
"Гладкова ул., д.23",511\298,233\183
"Гладкова ул., д.24/7",155\50,69\37
"Гладкова ул., д.25",1360\577,574\382
