"Автовская ул., д.21",268.4\149.6,392\203
"Автовская ул., д.22",137.9\114.4,191.158\160
"Автовская ул., д.25",132\96.8,121\82
"Автовская ул., д.26/37",518.3\298.1,611.228\341
"Автовская ул., д.28/30",93.5\93.5,144\138
"Автовская ул., д.29",809.6\374,826.02\385
"Автовская ул., д.30",58.3\49.5,61\56
"Автовская ул., д.32",54.18\45.1,51.761\51
"Автовская ул., д.34",79.2\46.2,85\52
"Автовская ул., д.38",48.4\30.8,70\46
"Автовская ул., д.40",126.5\121,134\137
"Автовская ул., д.46",52.8\29.7,87\47
"Автовская ул., д.52",92.4\117.7,99\111
"Балтийская ул., д.2/14",527\277,501.5\251
"Балтийская ул., д.12",207.6\198,230.763\189.6
"Балтийская ул., д.14",624\314,633.36\309
"Балтийская ул., д.17",442\241,16.2\14
"Балтийская ул., д.17, к.2",381.7\201,377.4\197.6
"Балтийская ул., д.18",52\29,54\32
"Балтийская ул., д.19а",10\9.9,10.553\17.1
"Балтийская ул., д.19б",5.2\5.1,5.467\4.44
"Балтийская ул., д.20",11.8\14.6,8.6\12.4
"Балтийская ул., д.21",1\1,1\0
"Балтийская ул., д.21, к.2",28.8\16.8,27\14
"Балтийская ул., д.22",9.1\11.4,6.7\9.6
"Балтийская ул., д.23",54\27,52\23
"Балтийская ул., д.24",65.7\45,68.62\36
"Балтийская ул., д.25",108\57,117\58
"Балтийская ул., д.27",46.2\30,53.1\25.3
"Балтийская ул., д.32а",68\42,70.256\45
"Балтийская ул., д.32д",26\16,26.703\17
"Балтийская ул., д.34",27.4\0,25\0
"Балтийская ул., д.36/9",101.2\54,103\59
"Балтийская ул., д.38",166\140,119\102
"Баррикадная ул., д.3",102\69,115\67
"Баррикадная ул., д.4",64\32,99\51
"Баррикадная ул., д.5",113.3\149.6,107\154
"Баррикадная ул., д.34",62\35,74\38
"Белоусова ул., д.3",46\29,38\20
"Белоусова ул., д.5",55\62.7,56\49
"Белоусова ул., д.6/42",326.326\168,328\176
"Белоусова ул., д.10",22.5\18,246.75\152
"Белоусова ул., д.14/41",8\3,8\3
"Белоусова ул., д.16",112.9\52,126\66
"Белоусова ул., д.18",103.4\52.8,113.4\51.2
"Белоусова ул., д.18, к.1",139.7\123.2,146\128
"Белоусова ул., д.20",59\29,56\30
"Белоусова ул., д.22",22\10,28.9\8
"Белоусова ул., д.24/32",20.2\16.5,64.61\46
"Васи Алексеева ул., д.7",39.2\44,37\27
"Васи Алексеева ул., д.9",22.32\15,22\11
"Васи Алексеева ул., д.10",446\212,444\211
"Васи Алексеева ул., д.11",72\74.4,99\77
"Васи Алексеева ул., д.17",122.4\86.4,194\135
"Васи Алексеева ул., д.20/24",122.9\77,161.3\104
"Васи Алексеева ул., д.21",24.3\13.2,30\15
"Васи Алексеева ул., д.22",444.6\401.5,607.68\446
"Васи Алексеева ул., д.24",211.2\171.6,225\148
"Васи Алексеева ул., д.25",79.2\55.2,99\66
"Васи Алексеева ул., д.26",239.3\227.5,260.7\232
"Васи Алексеева ул., д.28",141\112,156\115
"Васи Алексеева ул., д.30",373.35\320,446\329
"Возрождения ул., д.7/25",173\110.4,184.14\121
"Возрождения ул., д.9",8.6\5,12.48\9
"Возрождения ул., д.15",43.6\52.8,59.4\80
"Возрождения ул., д.19/38",414.3\302.5,473.37\348
"Возрождения ул., д.23",84\43,86\40
"Возрождения ул., д.25",86\45,81\41
"Возрождения ул., д.27",154\90.2,155\86
"Гладкова ул., д.1",38.7\31,33\39
"Гладкова ул., д.1а",61\31,59.4\27
"Гладкова ул., д.7/10",12.48\39,9\34
"Гладкова ул., д.11",27.6\16.8,31\14
"Гладкова ул., д.13",21.6\18,19\21
"Гладкова ул., д.17",292\177,277\156
"Гладкова ул., д.19",33.6\49.2,29\40
"Гладкова ул., д.21",22\12,23\12
"Гладкова ул., д.23",81\116,76\122
"Гладкова ул., д.24/7",100.8\52.8,104\52
"Гладкова ул., д.25",244\183,235\178
"Гладкова ул., д.26",54\46.8,72\42
"Гладкова ул., д.29",71\110,70\114
"Гладкова ул., д.31/7",40.8\21.6,39\16
"Гладкова ул., д.33",90\48,150\81
"Гладкова ул., д.35",46.8\24,40\25
"Гладкова ул., д.39",16\11,18\15
"Гладкова ул., д.41",1\1,1\0
"Гладкова ул., д.43",21.12\17,35.64\26
"Губина ул., д.1/32",210.21\101,225\102
"Губина ул., д.3",64\33,61\31
"Губина ул., д.4",3.7\1,2.8\1
"Губина ул., д.5",121\78,106\63
"Губина ул., д.6",12\6,9\4
"Губина ул., д.8",218\65,222.3\51
"Губина ул., д.9, к.1",15\11,25.6\16
"Губина ул., д.9, к.2",43\22,33\23
"Губина ул., д.12",103\52,122\63
"Губина ул., д.13, к.1",59.74\0,41.5\0
"Губина ул., д.13, к.2",97.9\60.5,101\49
"Губина ул., д.14",58.3\50.6,90\47
"Губина ул., д.15",84\45,38\19
"Губина ул., д.18",42\22,42\20
"Губина ул., д.19/16",34.1\17.6,34\21
"Губина ул., д.20",42.9\19.8,40\18
"Губина ул., д.21",57\28,73\36
"Губина ул., д.22/21",30\15,30\15
"Губина ул., д.23/19",135\66,140\60
"Двинская ул., д.4",384\337,403\328
"Двинская ул., д.4, к.1",119\109,110\115
"Двинская ул., д.4, к.2",269\277,272\282
"Двинская ул., д.4, к.3",204\235,206\215
"Двинская ул., д.4, к.4",149\172,144\160
"Двинская ул., д.8",97.2\99,84.6\88
"Двинская ул., д.9",141.4\77,182.28\97
"Двинская ул., д.10",325\269,341.8\244.4
"Двинская ул., д.11",191\146,200\133
"Двинская ул., д.14",185.8\144,189\140
"Двинская ул., д.14, к.4",1381\419,1404\406
"Двинская ул., д.16, к.1",4026\1483,4013\1497.39
"Двинская ул., д.17",605\269,599\271
"Зайцева ул., д.3",676.2\767,674\683
"Зайцева ул., д.17/23",1288.4\616,1449.48\703
"Зайцева ул., д.18/16",185.5\117.6,135.36\93
"Зайцева ул., д.19/18",187.2\176.4,250\254
"Зайцева ул., д.20",371\276,361\254
"Зайцева ул., д.21",30\18,34\20
"Зайцева ул., д.22/13",854.084\400.4,771.74\412
"Зайцева ул., д.25",110\86,98\77
"Зайцева ул., д.26",349.8\0,248.562\0
"Зайцева ул., д.29",10\19,23\35
"Зайцева ул., д.31",261.8\200.2,218\168
"Зайцева ул., д.32",122.4\110.4,157\141
"Зайцева ул., д.33",245.8\218.4,246.5\220
"Зайцева ул., д.34",139.2\66,158\75
