"Автовская ул., д.21",42.19,35.82
"Автовская ул., д.22",139.76,117.26
"Автовская ул., д.25",77.49,65.79
"Автовская ул., д.26/37",187.90,159.53
"Автовская ул., д.28/30",132.46,111.13
"Автовская ул., д.29",60.95,51.75
"Автовская ул., д.30",58.05,49.28
"Автовская ул., д.32",136.39,115.80
"Автовская ул., д.34",87.04,73.90
"Автовская ул., д.38",46.58,39.55
"Автовская ул., д.40",130.75,111.01
"Автовская ул., д.46",105.87,89.88
"Автовская ул., д.52",90.50,76.83
"Балтийская ул., д.2/14",355.17,301.54
"Балтийская ул., д.12",124.67,100.23
"Балтийская ул., д.14",78.57,66.71
"Балтийская ул., д.17",56.33,47.82
"Балтийская ул., д.17, к.2",154.80,131.43
"Балтийская ул., д.19а",44.74,37.98
"Балтийская ул., д.19б",27.31,23.19
"Балтийская ул., д.21",17.61,14.16
"Балтийская ул., д.21, к.2",19.16,15.40
"Балтийская ул., д.23",12.68,10.19
"Балтийская ул., д.25",25.72,20.68
"Балтийская ул., д.27",18.55,14.91
"Балтийская ул., д.34",15.02,12.08
"Балтийская ул., д.36/9",145.25,123.32
"Балтийская ул., д.38",93.88,78.77
"Баррикадная ул., д.3",45.23,38.40
"Баррикадная ул., д.5",64.06,54.39
"Баррикадная ул., д.34",17.16,14.57
"Белоусова ул., д.3",34.75,27.94
"Белоусова ул., д.5",27.93,23.71
"Белоусова ул., д.6/42",87.93,73.77
"Белоусова ул., д.10",29.69,25.01
"Васи Алексеева ул., д.7",93.91,78.79
"Васи Алексеева ул., д.9",89.22,74.86
"Васи Алексеева ул., д.10",136.86,116.19
"Васи Алексеева ул., д.11",82.15,69.75
"Васи Алексеева ул., д.16",140.41,119.21
"Васи Алексеева ул., д.17",125.53,106.57
"Васи Алексеева ул., д.20/24",237.79,201.88
"Васи Алексеева ул., д.21",149.63,127.04
"Васи Алексеева ул., д.22",186.04,157.95
"Васи Алексеева ул., д.24",114.61,97.30
"Васи Алексеева ул., д.25",84.05,71.36
"Васи Алексеева ул., д.26",110.17,93.53
"Васи Алексеева ул., д.28",108.16,91.83
"Васи Алексеева ул., д.30",190.51,161.74
"Возрождения ул., д.7/25",223.14,189.45
"Возрождения ул., д.9",88.93,74.61
"Возрождения ул., д.15",87.36,73.30
"Возрождения ул., д.19/38",225.12,191.13
"Возрождения ул., д.23",76.11,63.86
"Возрождения ул., д.25",92.75,77.82
"Возрождения ул., д.27",56.82,45.68
"Гладкова ул., д.1",24.14,19.41
"Гладкова ул., д.1а",27.27,21.93
"Гладкова ул., д.7/10",44.91,36.11
"Гладкова ул., д.23",58.66,47.16
"Гладкова ул., д.24/7",27.44,23.30
"Гладкова ул., д.25",133.72,113.53
"Гладкова ул., д.26",29.12,24.72
"Гладкова ул., д.29",51.03,43.32
"Губина ул., д.9, к.1",30.42,25.83
"Губина ул., д.9, к.2",29.14,24.74
"Губина ул., д.13, к.1",29.62,25.15
"Губина ул., д.13, к.2",27.41,22.04
"Губина ул., д.19/16",26.95,21.67
"Губина ул., д.21",19.66,15.81
"Губина ул., д.23/19",27.98,23.76
"Двинская ул., д.4",143.56,121.88
"Двинская ул., д.4, к.1",79.05,63.56
"Двинская ул., д.4, к.2",132.99,111.05
"Двинская ул., д.4, к.3",109.18,92.69
"Двинская ул., д.4, к.4",79.12,63.61
"Двинская ул., д.8",124.37,103.85
"Двинская ул., д.9",93.55,78.11
"Двинская ул., д.10",285.26,242.19
"Двинская ул., д.11",150.34,125.53
"Двинская ул., д.14",160.55,136.31
"Двинская ул., д.14, к.4",372.55,316.29
"Двинская ул., д.15",388.39,329.74
"Двинская ул., д.16, к.1",556.87,472.78
"Двинская ул., д.16, к.3",192.56,163.48
"Двинская ул., д.17",68.45,58.11
"Зайцева ул., д.3",144.90,123.02
"Зайцева ул., д.17/23",193.55,164.32
"Зайцева ул., д.18/16",211.14,179.26
"Зайцева ул., д.19/18",128.61,109.19
"Зайцева ул., д.20",128.71,109.27
"Зайцева ул., д.21",63.12,50.75
"Зайцева ул., д.22/13",213.61,181.35
"Зайцева ул., д.25",104.14,87.37
"Зайцева ул., д.26",131.00,111.22
"Зайцева ул., д.29",53.20,45.17
"Зайцева ул., д.31",143.28,121.64
"Зайцева ул., д.32",80.47,68.32
"Зайцева ул., д.33",144.09,122.33
"Зайцева ул., д.34",74.31,62.35
"Зайцева ул., д.36",75.68,63.50
"Зайцева ул., д.37",152.39,129.38
"Зайцева ул., д.39",128.09,108.75
"Зины Портновой ул., д.4",73.98,62.81
"Зины Портновой ул., д.6",69.40,58.23
"Зины Портновой ул., д.8",85.43,72.53
"Зины Портновой ул., д.10",74.41,63.17
"Зины Портновой ул., д.12",88.66,74.39
"Зины Портновой ул., д.14",89.58,75.16
"Зины Портновой ул., д.16",37.82,30.41
"Зины Портновой ул., д.18",80.29,67.36
"Зины Портновой ул., д.20",84.27,71.55
"Зины Портновой ул., д.22",73.38,62.30
"Зины Портновой ул., д.24",83.93,71.26
"Зины Портновой ул., д.26",72.40,61.47
"Зины Портновой ул., д.28",38.29,30.79
"Зины Портновой ул., д.30",80.76,68.57
"Зои Космодемьянской ул., д.3",134.58,114.26
"Зои Космодемьянской ул., д.5",37.78,32.08
"Зои Космодемьянской ул., д.17/26",83.10,70.55
"Зои Космодемьянской ул., д.21",24.90,21.14
"Зои Космодемьянской ул., д.23",22.19,17.84
"Зои Космодемьянской ул., д.25/20",36.67,31.13
"Зои Космодемьянской ул., д.27",47.47,40.30
"Зои Космодемьянской ул., д.29",41.29,35.06
"Ивана Черных ул., д.1",74.85,63.55
"Ивана Черных ул., д.3",62.20,52.81
"Ивана Черных ул., д.3, к.2",42.84,36.37
"Ивана Черных ул., д.13а",60.75,51.58
"Ивана Черных ул., д.13б",98.08,83.27
"Ивана Черных ул., д.15а",87.10,73.08
"Ивана Черных ул., д.15б",55.39,47.03
"Ивана Черных ул., д.19",94.52,80.25
"Ивана Черных ул., д.21",65.82,55.88
"Калинина ул., д.2, к.1",16.72,13.44
"Калинина ул., д.2, к.2",33.52,26.95
"Калинина ул., д.8, к.1",20.15,17.11
"Канонерский о., д.7",404.28,343.23
"Канонерский о., д.8",432.81,367.46
"Канонерский о., д.9",176.67,149.99
"Канонерский о., д.10",183.89,156.12
"Канонерский о., д.11, к.1",202.03,171.52
"Канонерский о., д.12",94.59,80.31
"Канонерский о., д.12, к.2",198.66,168.66
"Канонерский о., д.13",91.78,77.92
"Канонерский о., д.14",94.55,80.27
"Канонерский о., д.15",86.44,69.50
"Канонерский о., д.16",124.76,105.92
"Корнеева ул., д.2",89.85,75.38
"Корнеева ул., д.6",423.28,359.36
