"Автовская ул., д.21",234.77,231.85
"Автовская ул., д.25",436.63,296.73
"Автовская ул., д.28/30",541.46,409.72
"Автовская ул., д.29",392.81,266.62
"Автовская ул., д.30",165.92,107.00
"Автовская ул., д.32",483.31,339.18
"Автовская ул., д.34",396.13,271.24
"Автовская ул., д.38",211.22,145.31
"Автовская ул., д.40",639.46,476.74
"Балтийская ул., д.17, к.2",557.27,364.71
"Балтийская ул., д.18",225.07,215.94
"Балтийская ул., д.19",256.74,183.23
"Балтийская ул., д.20",118.46,113.65
"Балтийская ул., д.21",188.95,135.43
"Балтийская ул., д.22",154.00,147.74
"Балтийская ул., д.23",39.07,27.88
"Балтийская ул., д.24",197.43,189.41
"Балтийская ул., д.25",99.95,54.77
"Балтийская ул., д.27",58.75,31.95
"Балтийская ул., д.34",86.99,76.41
"Баррикадная ул., д.4",69.78,78.25
"Баррикадная ул., д.5",389.26,323.48
"Белоусова ул., д.3",192.80,120.97
"Белоусова ул., д.5",95.68,60.16
"Белоусова ул., д.10",94.64,57.55
"Белоусова ул., д.14/41",118.92,85.49
"Белоусова ул., д.16",52.46,37.71
"Белоусова ул., д.18",136.41,98.06
"Васи Алексеева ул., д.16",612.93,362.51
"Васи Алексеева ул., д.17",416.23,374.79
"Васи Алексеева ул., д.21",500.50,390.53
"Васи Алексеева ул., д.25",357.96,256.47
"Гладкова ул., д.1",106.52,73.31
"Гладкова ул., д.1а",131.10,90.23
"Гладкова ул., д.11",96.20,65.09
"Гладкова ул., д.13",129.50,87.62
"Гладкова ул., д.17",80.70,51.81
"Гладкова ул., д.19",147.32,94.98
"Гладкова ул., д.21",117.69,75.55
"Гладкова ул., д.24/7",119.07,113.68
"Гладкова ул., д.26",116.17,110.90
"Гладкова ул., д.31/7",9.80,9.33
"Гладкова ул., д.33",12.17,11.59
"Гладкова ул., д.35",9.80,9.33
"Гладкова ул., д.39",92.96,66.03
"Гладкова ул., д.41",72.46,81.26
"Гладкова ул., д.43",75.14,84.27
"Губина ул., д.1/32",128.50,91.27
"Губина ул., д.3",62.88,44.66
"Губина ул., д.4",62.53,44.60
"Губина ул., д.5",136.71,97.10
"Губина ул., д.6",110.17,78.57
"Губина ул., д.8",8.11,7.72
"Губина ул., д.9, к.1",104.04,99.82
"Губина ул., д.9, к.2",98.26,94.27
"Губина ул., д.13, к.1",92.48,88.72
"Губина ул., д.13, к.2",58.96,57.12
"Губина ул., д.19/16",121.94,86.86
"Губина ул., д.20",105.29,86.56
"Губина ул., д.21",117.46,84.30
"Губина ул., д.22/21",78.97,64.92
"Губина ул., д.23/19",124.58,89.41
"Двинская ул., д.14, к.4",696.50,501.16
"Двинская ул., д.16, к.1",1941.26,1846.30
"Двинская ул., д.16, к.3",1259.25,976.24
"Зайцева ул., д.3",657.44,429.64
"Зайцева ул., д.19/18",590.82,426.79
"Зайцева ул., д.21",148.13,111.28
"Зайцева ул., д.25",496.60,364.84
"Зайцева ул., д.29",245.36,126.36
"Зайцева ул., д.31",586.55,414.77
"Зины Портновой ул., д.4",484.96,377.38
"Зины Портновой ул., д.6",376.55,244.85
"Зины Портновой ул., д.8",435.92,321.31
"Зины Портновой ул., д.10",422.07,309.35
"Зины Портновой ул., д.12",856.09,330.95
"Зины Портновой ул., д.14",442.85,305.20
"Зины Портновой ул., д.16",181.88,153.91
"Зины Портновой ул., д.18",364.58,248.52
"Зины Портновой ул., д.20",442.86,292.43
"Зины Портновой ул., д.22",417.96,310.74
"Зины Портновой ул., д.24",428.29,315.70
"Зины Портновой ул., д.26",323.37,263.55
"Зины Портновой ул., д.28",340.17,227.99
"Зины Портновой ул., д.30",277.46,220.70
"Зои Космодемьянской ул., д.3",569.38,370.18
"Зои Космодемьянской ул., д.5",231.55,137.70
"Зои Космодемьянской ул., д.21",142.38,102.19
"Зои Космодемьянской ул., д.27",154.04,85.43
"Ивана Черных ул., д.3, к.2",293.12,180.82
"Канонерский о., д.7",1456.22,1334.75
"Канонерский о., д.8",1531.24,1395.86
"Канонерский о., д.9",499.84,462.97
"Канонерский о., д.10",642.05,594.36
"Канонерский о., д.12",367.45,383.46
"Канонерский о., д.12, к.2",874.63,916.15
"Канонерский о., д.13",425.26,367.23
"Канонерский о., д.14",425.73,402.60
"Канонерский о., д.15",349.64,243.54
"Корнеева ул., д.6",1528.96,1056.64
"Косинова ул., д.14, к.1",529.78,364.59
"Косинова ул., д.14, к.2",500.40,272.90
"Ленинский пр., д.110, к.1а",492.13,471.46
"Ленинский пр., д.110, к.1б",2809.89,2449.96
"Ленинский пр., д.120, к.2",388.76,281.51
"Ленинский пр., д.124",1219.27,687.22
"Майков пер., д.3",55.53,30.43
"Майков пер., д.5",11.19,6.09
"Майков пер., д.5а",75.54,41.07
"Майков пер., д.7/1",77.74,42.60
"Маршала Говорова ул., д.16",1204.99,815.40
"Маршала Жукова пр., д.18а",757.78,756.72
"Маршала Жукова пр., д.18б",580.45,513.13
"Маршала Жукова пр., д.18в",1756.11,1659.66
"Маршала Жукова пр., д.18г",806.45,645.81
"Маршала Жукова пр., д.18д",659.23,637.27
"Маршала Жукова пр., д.20",1123.36,941.06
"Маршала Жукова пр., д.22",1263.69,897.58
"Маршала Жукова пр., д.26/16а",716.79,626.29
"Маршала Жукова пр., д.26/16б",433.38,393.51
"Маршала Жукова пр., д.26/16в",1877.76,1197.64
"Маршала Жукова пр., д.28, к.1",1834.25,1069.60
"Маршала Жукова пр., д.30, к.2а",433.40,411.73
"Маршала Жукова пр., д.30, к.2б",494.46,480.51
"Маршала Жукова пр., д.30, к.2в",1800.20,1632.11
"Маршала Жукова пр., д.30, к.2г",522.55,512.26
"Маршала Жукова пр., д.30, к.2д",995.96,876.37
"Маршала Жукова пр., д.30, к.2е",551.04,507.46
"Маршала Жукова пр., д.30, к.2ж",1268.48,1197.18
"Маршала Жукова пр., д.32, к.1",2153.13,1271.22
"Маршала Жукова пр., д.34, к.1а",985.82,788.31
"Маршала Жукова пр., д.34, к.1б",854.19,716.01
"Маршала Жукова пр., д.34, к.1в",1171.64,1021.56
"Маршала Жукова пр., д.34, к.1г",333.32,297.57
"Маршала Жукова пр., д.34, к.1д",790.42,665.36
"Маршала Жукова пр., д.34, к.1е",1381.59,1420.79
"Маршала Казакова ул., д.1, к.2",974.95,982.00
"Маршала Казакова ул., д.3, к.1",1308.62,958.18
"Маршала Казакова ул., д.5, к.1а",1466.85,1289.45
"Маршала Казакова ул., д.5, к.1б",997.14,882.97
"Маршала Казакова ул., д.10, к.1а",1313.22,1187.23
"Маршала Казакова ул., д.10, к.1б",1058.04,997.41
"Маршала Казакова ул., д.10, к.1в",694.50,635.73
"Маршала Казакова ул., д.10, к.1д",542.10,512.46
"Маршала Казакова ул., д.13",1525.27,1325.02
"Морской пехоты ул., д.4",2178.20,2024.41
"Морской пехоты ул., д.6, к.1",1278.39,989.85
